Period Covered,No. borrowers granted > 1 loan,No. of repeat loans granted,No. borrowers granted repeat loans,No. of 1 Time Repeat,No. of 2 Time Repeat,No. of 3 Time Repeat,No. of 4 Time Repeat,No. of 5 Time Repeat,No. of 6 Time Repeat,No. of 7 Time Repeat,No. of 8+ Time Repeat,Total Loans Granted,Average Amount Loan Granted,Estimated Total Value of Loans Granted,Default Rate,Average Amount Loan Defaulted
"July 1, 2021 - June 30, 2022",17333,78382,12906,3853,1735,1260,901,714,599,551,3293,132840,492.44,65415974.4,0.1089,547.54
"July 1, 2020 - June 30, 2021",15290,76081,10697,2547,1475,1010,789,641,537,518,3180,123964,487.46,60427856.74,0.1047,564.55
"July 1, 2019 - June 30, 2020",22517,110617,16378,3979,2191,1641,1240,1149,957,809,4412,175308,490.43,85975455.69,0.0799,591
"July 1, 2018 - June 30, 2019",23369,105645,17477,4195,2310,1650,1249,1056,856,801,5360,195777,465.05,90577381.91,0.0747,592.88
"July 1, 2017 - June 30, 2018",22838,111031,17503,3929,2182,1600,1295,1080,868,792,5757,202625,500.89,101420550.79,0.0757,619.06
"July 1, 2016 - June 30, 2017",24050,117896,18795,4350,2448,1810,1348,1123,917,863,5936,209000,449.4,93925299.28,0.0767,555.18
"July 1, 2015- June 30, 2016",23744,115378,17665,4100,2231,1592,1275,1007,874,805,5788,213165,440.98,94001669.3,0.0779,533.98
"July 1, 2014 - June 30, 2015",,,,,,,,,,,,,,,,
"July 1, 2013 - June 30, 2014",24788,107274,18794,4801,2546,1853,1408,1127,884,800,5531,206165,433.03,89276435.39,0.0708,527.32
"July 1, 2012 - June 30, 2013",19630,89218,15545,3782,2164,1644,1273,1465,693,582,4098,194794,438.06,85331012.85,0.0683,517.88
"July 1, 2011 - June 30, 2012",,,,,,,,,,,,172023,447.98,77063652.22,0.0714,524.46
"July 1, 2010 - June 30, 2011",,,,,,,,,,,,148348,423.02,62753761.33,0.0819,459.79
