,1991,Symbol,1992,Symbol,1993,Symbol,1994,Symbol,1995,Symbol,1996,Symbol,1997,Symbol,1998,Symbol,1999,Symbol,2000,Symbol,2001,Symbol,2002,Symbol,2003,Symbol,2004,Symbol,2005,Symbol,2006,Symbol,2007,Symbol,2008,Symbol,2009,Symbol,2010,Symbol,2011,Symbol,2012,Symbol,2013,Symbol,2014,Symbol,2015,Symbol,2016,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2022,Symbol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,195569,,196535,,204912,,207077,,210733,,212880,,215669,,218091,,219530,,218062,,219538,,223603,,226169,,226584,,230132,,228079,,235217,,238617,,238418,,240075,,243511,,246596,,252338,,258821,,264333,,267213,,278298,,285704,,285301,,308412,,311640,,334081,
January,17459,,18353,,18441,,20954,,19005,,19534,,21617,,20578,,21207,,22661,,20429,,20165,,20621,,21796,,22604,,20120,,21924,,21310,,22250,,21316,,23150,,22399,,25596,,23808,,26946,,23719,,27253,,28910,,26385,,27044,,29872,,33650,
February,15417,,16298,,16333,,17035,,17766,,17805,,17840,,20015,,19678,,17923,,18046,,18546,,17850,,19343,,19657,,18388,,20217,,19988,,19233,,18908,,20204,,20178,,20730,,20563,,22453,,22273,,23279,,24138,,23203,,23893,,24573,,27264,
March,17052,,16785,,19430,,17860,,19552,,18623,,19652,,21144,,20347,,18428,,19511,,20088,,19919,,19913,,20854,,20350,,21328,,21586,,21141,,20953,,21967,,21467,,21832,,22530,,23758,,23950,,24704,,25356,,25077,,25924,,25528,,26723,
April,16042,,15931,,17473,,16589,,17785,,17547,,17998,,17706,,17551,,17326,,18170,,18314,,18414,,18935,,19173,,18786,,19393,,20678,,19629,,19944,,20350,,20407,,20882,,21378,,22073,,22271,,22658,,23650,,23708,,28791,,24990,,26152,
May,16414,,16404,,16955,,16930,,17781,,17460,,17859,,17673,,17827,,17673,,18215,,18542,,18575,,18152,,19132,,19143,,19284,,19811,,19891,,19830,,20208,,20382,,20603,,21316,,21827,,22008,,22564,,23087,,23786,,27200,,25355,,27017,
June,15369,,15380,,15792,,16609,,16399,,16352,,16696,,16565,,16612,,16910,,17602,,17274,,17852,,17752,,17793,,17783,,18170,,18251,,18571,,18484,,18976,,18921,,19171,,19933,,19811,,20401,,21083,,21800,,21958,,22874,,23982,,24593,
July,15636,,15837,,16125,,16569,,16788,,16753,,16782,,16866,,16950,,17362,,17541,,18448,,17922,,17921,,18119,,18043,,18717,,18705,,18735,,19554,,19295,,19482,,20087,,20027,,20451,,20850,,21612,,22156,,22588,,23400,,24172,,26285,
August,15504,,15737,,16234,,15919,,16403,,16739,,16593,,16763,,16810,,16962,,17676,,17983,,17961,,17313,,17980,,18237,,18156,,18544,,18813,,19113,,19137,,19742,,19561,,20350,,20323,,21235,,21690,,22065,,22350,,23661,,24903,,26743,
September,15189,,15316,,15776,,16118,,16028,,16405,,16311,,16318,,16445,,16868,,16942,,17010,,17528,,17547,,17353,,17926,,18165,,18397,,18351,,19061,,18772,,19118,,19355,,20494,,20189,,20783,,21586,,22014,,22040,,23705,,25705,,26225,
October,16531,,16737,,17196,,17274,,17306,,18001,,17880,,17730,,18057,,18299,,18524,,18414,,19291,,19204,,18850,,19652,,19162,,20135,,20569,,20937,,20280,,20786,,20852,,21771,,22284,,22952,,22958,,23885,,24343,,25710,,27184,,28931,
November,16413,,16349,,16709,,16981,,17244,,17784,,17536,,17672,,17741,,17898,,17872,,18733,,18984,,18507,,18638,,19126,,19331,,19905,,20250,,19997,,20012,,20380,,20857,,21977,,21415,,22349,,23377,,23643,,24166,,26865,,26891,,29130,
December,18543,,17408,,18448,,18239,,18676,,19877,,18905,,19061,,20305,,19752,,19010,,20086,,21252,,20201,,19979,,20525,,21370,,21307,,20985,,21978,,21160,,23334,,22812,,24674,,22803,,24422,,25534,,25000,,25697,,29345,,28485,,31368,
