Quarter,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2
Canada,8,7.9,7.9,7.5,7.8,8.8,8,7.2,7.3,7.6,7.6,7,7.3,7,7,6.8,6.7,6.7,6.5,6.3,6,6.3,6.3,6.2,5.7,5.8,5.9,5.6,5.3,5.2,5.3,4.5,4.4,4.4,4,3.8,4.2,4.3,4.1,4.2,4.7,4.9,5.1,5
Newfoundland,10.6,10.8,10.8,9.6,10.4,11.4,10.4,10,9.9,10.6,9.4,9.2,8.8,7.9,7.9,7.6,8.1,8.9,8.1,7.7,7.3,8,7.8,6.9,6.4,6.6,8.8,7.7,7.6,6.7,7,6.9,6.3,6.8,6,5.7,6,6.3,6,5.5,4.9,6.5,5.9,6.1
Prince Edward Island,10.4,8,9.6,8.6,10.5,9.5,11.6,10,8.8,10.1,11.2,10.4,11.6,8.5,8.7,9.8,6.5,9.4,9.3,9.7,6.5,8.1,6.7,6.7,5.7,7,7.7,6.7,5.4,6.7,4.7,4.9,4.8,5.7,4,3.7,5.2,5.2,4.6,4.8,5.1,4.4,6,6
Nova Scotia,10.4,10.4,10.4,9.9,10.6,11.5,11,10.1,10.1,10.6,9.6,9.7,9,9.3,8.8,8.2,8.8,8,7.1,7.1,7,8.2,7,7.7,7.1,7,7.5,7.2,6.4,6.6,7.1,6.4,5.6,6.1,5.7,4.5,5.1,5,5.4,4.9,5.1,6,6,6.1
New Brunswick,12.2,12.7,12.9,12.7,12.4,14,12.8,12.9,11.8,11.9,12.7,11.7,10.6,9.8,10.6,9.3,9.8,9.8,8.4,9.2,7.9,8.4,9.1,8.7,7.4,8,8.2,8.4,7.4,7.2,7.9,6.5,6.6,6.8,6.6,5.3,5.9,5.6,4.9,5.7,6,6.2,6.1,7.1
Qu�bec,6.5,6,6,5.9,6.1,6.9,6.3,5.4,5.6,5.4,5.4,5,5.4,5.3,5.3,5,5.3,5.1,5.1,4.7,4.7,4.7,4.6,4.7,4.4,4.5,4.8,4.4,4.6,4.2,4.2,3.6,3.7,3.5,3.1,3,3.4,3.4,3.1,3.2,3.8,4,4,4
Ontario,8.5,8.4,8.3,8,8.1,9.2,8.4,7.6,7.6,7.8,8.2,7.4,7.6,7.5,7.3,7.3,6.9,7,6.8,6.8,6.6,6.9,6.7,6.7,6,6.1,6,5.9,5.4,5.4,5.6,4.5,4.5,4.6,4.2,3.8,4.3,4.4,4.2,4.4,5,5.1,5.4,5.3
Manitoba,8.7,8.5,8.2,7.3,8.4,10.3,9.4,8.8,8.7,9.2,8.4,8.2,8.7,8.2,8.2,8.8,8.3,8.2,7.5,7.3,7,7.7,7.5,8.1,7.4,7.2,7.8,7.2,6.5,6.9,7.4,6.3,5.6,6.1,6,5.7,6.3,6.3,6.3,6.4,6.9,6.9,7.9,7.4
Saskatchewan,8.8,7.6,7.7,7.9,9.3,9,8.4,8.3,8.7,8.8,8.7,8.6,8.1,8,7.5,7.7,7.1,7.2,6.5,6.7,6.5,6.8,7.9,7.8,6.9,6.9,7.6,6.6,6,6.4,6.5,5.2,5,5,4.5,4.3,4.9,4.8,4.9,5,4.9,5.8,6.4,6.3
Alberta,8.6,8.5,8.8,8.5,8.9,10,8.8,8.4,8.5,9,8.9,9.1,9.2,8.4,8.8,8.4,7.9,7.9,7.4,7.4,6.5,6.8,7.1,6.9,6.6,6.6,6.9,6.8,5.9,5.9,6.5,5.4,5.5,5.2,5.1,4.6,4.9,5.4,5.2,5.3,5.7,5.6,6.2,6
British Columbia,7.8,7.9,7.6,7.4,7.6,8,7.6,6.9,6.8,7.3,6.7,6.4,6.7,6.3,6.6,6.4,6.3,6.2,6.1,6.2,5.6,5.8,5.9,5.9,5.6,5.6,5.5,5.4,5.2,4.8,4.7,4.6,4.1,3.8,3.7,3.7,4.1,4.1,3.9,3.9,4.4,4.4,4.5,4.4
Selected Metropolitan Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's,9.8,8.4,9.6,8,9.8,10.2,9,8.4,9.3,10.3,9,8.2,9,7.5,7.6,7.3,7.2,8.2,6.6,7.8,6.9,6.7,8.1,6.4,4.9,4.7,6.4,7.2,7.8,5.9,5.8,6.4,6.7,6.3,5.4,4.4,5.8,5.9,4.8,4.4,4,6.1,6,6.1
Charlottetown,9.6,7,7.8,8.6,9.9,8,8.2,10,8.8,8.8,8.7,8.9,10.6,6.5,7,8.9,6.6,8.4,8.9,9.1,5.7,8.1,5.7,6.8,5.6,6.5,8,6.4,5.1,5.4,4.1,4.9,4.1,4.8,4,3.3,4,4.8,3.9,4.5,4.8,4,4.1,4.2
Halifax,9.5,9.3,9.6,8.8,10.1,10.7,9.5,8.7,9.5,9.2,9.2,8.3,8.4,8.1,7.9,7.7,8,7.1,6.8,7.2,6.8,8.2,6.7,7.2,6.7,6.5,6.6,6.4,6.1,6.4,6.8,5.6,5.2,5.4,4.7,4,4.7,4.5,4.8,4.6,4.7,5.2,5.8,5.7
Moncton,11.5,11.2,11.5,11,11.2,12.2,11.1,12.1,11.2,10.4,11.8,11.6,11,8.7,8.1,8,8.8,9.7,6.9,9.1,7,7.3,6.9,7.4,6,7.2,9,7.3,7.8,6.2,7.3,5.4,6.1,5.8,5.1,5.5,6.2,4.9,4.4,5.2,5.1,5.7,4.9,5.7
Saint John,11.5,11.9,11.9,11,10,11.3,11.9,11.8,9.6,11,13,11.2,9.9,9.4,11.2,8.5,11.6,8.2,7.1,7.8,7.6,7.2,8.6,8.3,7.8,8.1,7.6,9.1,7.9,8.2,7,7.2,6.4,7.1,6.6,4.9,5.4,6,4.5,4.8,7.3,5.6,4.9,7.8
Saguenay,6.9,5.4,6.1,5.8,5.3,6.5,5.9,6,4.6,4.5,5.8,4.6,4.5,4.7,5.5,4.5,5.8,4.9,4.6,4.8,4,4.9,4.9,4.4,4.7,4,4.8,4.4,4,3.8,4.1,3.2,4,3.6,3.1,3.8,4,3.4,3.5,3,3.3,3.9,4.2,3.3
Qu�bec City,4.6,4.2,4.3,4.2,4,4.2,4.1,3.7,3.9,3.7,3.6,3.6,3.6,3.5,3.5,3.3,3.9,3.7,3.5,3,3,3.1,3.3,3.2,3.1,3,3.1,2.9,3.3,2.9,2.8,2.6,2.8,2.4,2.1,2.1,2.4,2.4,2.2,2.1,2.8,2.6,3.2,2.7
Sherbrooke,5.4,4.5,4.5,3.8,4.9,5.3,4.6,3.9,4.7,4.2,4.6,4.2,3.7,3.6,3.8,3.8,3.8,4.7,4.9,3.4,3,3.8,3.3,3.7,3.6,3.8,4.3,3.2,3.8,3.2,2.8,2.6,2.8,2.8,2.6,2.7,2.7,2.3,2.6,2.2,2.8,3,2.2,2.8
Trois-Rivi�res,5.5,5.9,4.5,5.2,4.7,5.4,6.7,5.7,4.5,4.3,3.7,3.5,4,4.8,4.9,4.5,4.4,3.7,3.2,4.6,4.4,4.6,3.8,4.6,4.6,3.9,4.2,5.2,4.9,4.8,4.9,3.1,3.5,3.5,3,2.7,4,4,4,3.2,3.6,3.3,2.5,4
Montr�al,6.7,6.6,6,6.1,6.5,7.6,6.7,5.6,6,5.8,5.8,5.3,6,5.5,5.5,5.3,5.5,5.2,5.1,4.8,5,4.8,4.5,4.8,4.5,4.5,4.9,4.3,4.6,4.3,4.3,3.7,3.8,3.4,3,2.9,3.5,3.4,3.2,3.3,4.1,4.3,4.1,4.4
Ottawa-Gatineau,6.8,6.9,7.4,6.5,6,8.1,6.5,6.3,5.9,6,6.3,5.8,6,6,6,5.8,5.3,5.7,5.7,5.2,5.3,5.1,5.1,5,4.4,5.1,5.1,4.4,4.3,4.3,4.1,4,3.5,3.4,3.4,3.1,3.6,3.6,3.5,3.5,3.9,4.5,4.5,4.7
Kingston,7.6,6.9,6.9,7.7,7.3,9.5,8.3,5.9,7.2,7.4,7.2,7.2,6.9,6.7,7.3,7.2,7,6.7,7.2,6.8,4.9,5.8,6.5,6.8,5.9,5.4,5.8,6.2,4.9,5.4,4.1,4.1,3.2,3.6,4.3,4,4.4,4.8,4,4.1,4.2,4.9,3.8,6
Peterborough,7.9,8.1,9.2,7.2,8,8.9,7.7,8.2,6.8,8.5,7.4,8.2,7.2,7.1,8.3,5.7,6.3,8.4,7.6,6.8,5.8,6.5,6.4,6.4,5.2,6,8.1,5.7,5.4,5.4,6.3,5,4.9,5.9,4.3,4.4,5.4,4.8,5,4.2,5.2,4.2,5,5.5
