"Date","Price","Open","High","Low","Vol.","Change %"
"2001-05-17","1.5362","1.5391","1.5399","1.5337","","-0.19%"
"2001-05-16","1.5391","1.5457","1.5480","1.5369","","-0.43%"
"2001-05-15","1.5457","1.5526","1.5563","1.5453","","-0.46%"
"2001-05-14","1.5529","1.5498","1.5545","1.5483","","0.14%"
"2001-05-11","1.5507","1.5432","1.5523","1.5382","","0.49%"
"2001-05-10","1.5431","1.5387","1.5439","1.5365","","0.27%"
"2001-05-09","1.5389","1.5431","1.5456","1.5375","","-0.21%"
"2001-05-08","1.5422","1.5422","1.5473","1.5403","","0.00%"
"2001-05-07","1.5422","1.5359","1.5428","1.5325","","0.45%"
"2001-05-04","1.5353","1.5331","1.5358","1.5273","","0.15%"
"2001-05-03","1.5330","1.5319","1.5355","1.5297","","0.09%"
"2001-05-02","1.5316","1.5321","1.5338","1.5289","","-0.07%"
"2001-05-01","1.5327","1.5351","1.5375","1.5310","","-0.17%"
"2001-04-30","1.5353","1.5430","1.5445","1.5331","","-0.45%"
"2001-04-27","1.5423","1.5429","1.5470","1.5395","","-0.03%"
"2001-04-26","1.5427","1.5485","1.5501","1.5419","","-0.37%"
"2001-04-25","1.5485","1.5467","1.5523","1.5395","","0.18%"
"2001-04-24","1.5457","1.5485","1.5525","1.5453","","-0.18%"
"2001-04-23","1.5485","1.5454","1.5509","1.5425","","0.23%"
"2001-04-20","1.5449","1.5503","1.5503","1.5423","","-0.23%"
"2001-04-19","1.5484","1.5655","1.5661","1.5460","","-1.01%"
"2001-04-18","1.5642","1.5639","1.5743","1.5616","","-0.03%"
"2001-04-17","1.5647","1.5615","1.5647","1.5547","","0.17%"
"2001-04-16","1.5621","1.5626","1.5649","1.5600","","0.05%"
"2001-04-13","1.5613","1.5620","1.5637","1.5609","","-0.08%"
"2001-04-12","1.5625","1.5610","1.5637","1.5561","","-0.01%"
"2001-04-11","1.5627","1.5551","1.5636","1.5549","","0.44%"
"2001-04-10","1.5558","1.5645","1.5661","1.5540","","-0.57%"
"2001-04-09","1.5647","1.5635","1.5660","1.5620","","0.00%"
"2001-04-06","1.5647","1.5737","1.5755","1.5605","","-0.58%"
