"Date","Price","Open","High","Low","Vol.","Change %"
"2023-12-01","1.3594","1.3562","1.3619","1.3480","","0.24%"
"2023-11-01","1.3562","1.3879","1.3900","1.3541","","-2.25%"
"2023-10-01","1.3874","1.3572","1.3894","1.3556","","2.19%"
"2023-09-01","1.3577","1.3508","1.3696","1.3381","","0.52%"
"2023-08-01","1.3507","1.3190","1.3641","1.3182","","2.43%"
"2023-07-01","1.3187","1.3242","1.3389","1.3091","","-0.37%"
"2023-06-01","1.3236","1.3572","1.3586","1.3116","","-2.48%"
"2023-05-01","1.3572","1.3544","1.3656","1.3314","","0.16%"
"2023-04-01","1.3550","1.3518","1.3669","1.3302","","0.26%"
"2023-03-01","1.3515","1.3642","1.3863","1.3507","","-0.95%"
"2023-02-01","1.3645","1.3305","1.3666","1.3261","","2.56%"
"2023-01-01","1.3305","1.3551","1.3686","1.3298","","-1.80%"
"2022-12-01","1.3549","1.3411","1.3707","1.3384","","1.04%"
"2022-11-01","1.3409","1.3625","1.3809","1.3226","","-1.56%"
"2022-10-01","1.3622","1.3816","1.3979","1.3494","","-1.48%"
"2022-09-01","1.3826","1.3133","1.3840","1.2953","","5.32%"
"2022-08-01","1.3127","1.2815","1.3142","1.2727","","2.61%"
"2022-07-01","1.2793","1.2873","1.3225","1.2788","","-0.61%"
"2022-06-01","1.2872","1.2645","1.3080","1.2516","","1.80%"
"2022-05-01","1.2644","1.2840","1.3078","1.2628","","-1.65%"
"2022-04-01","1.2856","1.2502","1.2881","1.2402","","2.86%"
"2022-03-01","1.2499","1.2679","1.2902","1.2428","","-1.39%"
"2022-02-01","1.2675","1.2708","1.2879","1.2636","","-0.24%"
"2022-01-01","1.2705","1.2634","1.2815","1.2450","","0.56%"
"2021-12-01","1.2634","1.2778","1.2965","1.2607","","-1.11%"
"2021-11-01","1.2776","1.2394","1.2838","1.2350","","3.14%"
"2021-10-01","1.2387","1.2679","1.2739","1.2288","","-2.30%"
"2021-09-01","1.2678","1.2622","1.2896","1.2491","","0.51%"
"2021-08-01","1.2614","1.2479","1.2950","1.2450","","1.15%"
"2021-07-01","1.2470","1.2399","1.2809","1.2300","","0.61%"
"2021-06-01","1.2394","1.2064","1.2487","1.2004","","2.75%"
"2021-05-01","1.2062","1.2289","1.2352","1.2011","","-1.85%"
"2021-04-01","1.2289","1.2562","1.2653","1.2264","","-2.14%"
"2021-03-01","1.2558","1.2723","1.2740","1.2363","","-1.42%"
"2021-02-01","1.2739","1.2777","1.2871","1.2466","","-0.30%"
"2021-01-01","1.2777","1.2734","1.2882","1.2588","","0.37%"
"2020-12-01","1.2730","1.3002","1.3008","1.2686","","-2.08%"
"2020-11-01","1.3000","1.3316","1.3371","1.2921","","-2.38%"
"2020-10-01","1.3317","1.3321","1.3391","1.3079","","-0.02%"
"2020-09-01","1.3319","1.3042","1.3421","1.2992","","2.10%"
"2020-08-01","1.3045","1.3401","1.3452","1.3018","","-2.74%"
"2020-07-01","1.3413","1.3576","1.3648","1.3329","","-1.18%"
"2020-06-01","1.3573","1.3782","1.3802","1.3313","","-1.42%"
"2020-05-01","1.3769","1.3946","1.4174","1.3712","","-1.23%"
"2020-04-01","1.3941","1.4060","1.4300","1.3848","","-0.84%"
"2020-03-01","1.4059","1.3412","1.4669","1.3314","","4.95%"
"2020-02-01","1.3396","1.3238","1.3466","1.3200","","1.22%"
"2020-01-01","1.3235","1.2986","1.3254","1.2954","","1.92%"
"2019-12-01","1.2986","1.3279","1.3322","1.2949","","-2.18%"
"2019-11-01","1.3275","1.3164","1.3329","1.3110","","0.88%"
"2019-10-01","1.3159","1.3241","1.3348","1.3039","","-0.60%"
"2019-09-01","1.3239","1.3313","1.3384","1.3131","","-0.53%"
"2019-08-01","1.3310","1.3192","1.3346","1.3175","","0.92%"
"2019-07-01","1.3189","1.3092","1.3215","1.3014","","0.76%"
"2019-06-01","1.3090","1.3521","1.3529","1.3057","","-3.12%"
"2019-05-01","1.3512","1.3388","1.3566","1.3355","","0.94%"
"2019-04-01","1.3386","1.3354","1.3522","1.3272","","0.31%"
"2019-03-01","1.3344","1.3172","1.3471","1.3128","","1.35%"
"2019-02-01","1.3166","1.3123","1.3343","1.3066","","0.34%"
"2019-01-01","1.3122","1.3636","1.3664","1.3116","","-3.78%"
"2018-12-01","1.3637","1.3258","1.3666","1.3159","","2.59%"
"2018-11-01","1.3293","1.3156","1.3361","1.3046","","1.07%"
"2018-10-01","1.3152","1.2902","1.3172","1.2780","","1.92%"
"2018-09-01","1.2904","1.3039","1.3228","1.2882","","-1.02%"
"2018-08-01","1.3037","1.3005","1.3177","1.2885","","0.25%"
"2018-07-01","1.3005","1.3141","1.3291","1.2983","","-0.95%"
"2018-06-01","1.3130","1.2957","1.3387","1.2857","","1.34%"
"2018-05-01","1.2956","1.2843","1.3048","1.2727","","0.92%"
"2018-04-01","1.2838","1.2902","1.2945","1.2524","","-0.41%"
"2018-03-01","1.2891","1.2831","1.3126","1.2802","","0.48%"
"2018-02-01","1.2830","1.2315","1.2843","1.2254","","4.20%"
"2018-01-01","1.2313","1.2579","1.2591","1.2248","","-2.10%"
"2017-12-01","1.2577","1.2897","1.2921","1.2513","","-2.46%"
"2017-11-01","1.2894","1.2889","1.2911","1.2664","","0.08%"
"2017-10-01","1.2884","1.2475","1.2917","1.2431","","3.34%"
"2017-09-01","1.2467","1.2479","1.2529","1.2059","","-0.10%"
"2017-08-01","1.2480","1.2479","1.2780","1.2440","","0.02%"
"2017-07-01","1.2477","1.2966","1.3017","1.2414","","-3.74%"
"2017-06-01","1.2962","1.3501","1.3548","1.2946","","-3.98%"
"2017-05-01","1.3499","1.3656","1.3795","1.3387","","-1.11%"
"2017-04-01","1.3650","1.3304","1.3699","1.3222","","2.55%"
"2017-03-01","1.3311","1.3301","1.3536","1.3264","","0.09%"
"2017-02-01","1.3299","1.3032","1.3316","1.2980","","2.08%"
"2017-01-01","1.3028","1.3436","1.3462","1.2968","","-2.99%"
"2016-12-01","1.3430","1.3439","1.3600","1.3081","","-0.02%"
"2016-11-01","1.3433","1.3407","1.3591","1.3262","","0.19%"
"2016-10-01","1.3408","1.3127","1.3433","1.3004","","2.14%"
"2016-09-01","1.3127","1.3106","1.3282","1.2820","","0.18%"
"2016-08-01","1.3104","1.3029","1.3202","1.2761","","0.58%"
"2016-07-01","1.3028","1.2924","1.3254","1.2829","","0.81%"
"2016-06-01","1.2923","1.3094","1.3146","1.2653","","-1.29%"
"2016-05-01","1.3092","1.2550","1.3190","1.2461","","4.31%"
"2016-04-01","1.2551","1.3004","1.3219","1.2497","","-3.48%"
"2016-03-01","1.3004","1.3542","1.3555","1.2855","","-3.94%"
"2016-02-01","1.3538","1.3973","1.4103","1.3481","","-3.10%"
"2016-01-01","1.3971","1.3841","1.4691","1.3814","","0.95%"
"2015-12-01","1.3839","1.3362","1.4001","1.3291","","3.57%"
"2015-11-01","1.3362","1.3076","1.3438","1.3036","","2.19%"
"2015-10-01","1.3076","1.3312","1.3333","1.2829","","-1.77%"
"2015-09-01","1.3312","1.3140","1.3457","1.3010","","1.35%"
"2015-08-01","1.3135","1.3096","1.3355","1.2950","","0.37%"
"2015-07-01","1.3086","1.2494","1.3104","1.2473","","4.76%"
"2015-06-01","1.2491","1.2441","1.2565","1.2126","","0.37%"
"2015-05-01","1.2445","1.2077","1.2539","1.1918","","3.06%"
"2015-04-01","1.2075","1.2684","1.2711","1.1944","","-4.82%"
"2015-03-01","1.2686","1.2482","1.2835","1.2406","","1.44%"
"2015-02-01","1.2506","1.2732","1.2774","1.2352","","-1.76%"
"2015-01-01","1.2730","1.1622","1.2800","1.1598","","9.57%"
"2014-12-01","1.1618","1.1422","1.1674","1.1312","","1.80%"
"2014-11-01","1.1413","1.1265","1.1468","1.1191","","1.31%"
"2014-10-01","1.1265","1.1197","1.1387","1.1069","","0.62%"
"2014-09-01","1.1196","1.0876","1.1221","1.0819","","2.95%"
"2014-08-01","1.0875","1.0906","1.0999","1.0809","","-0.27%"
"2014-07-01","1.0904","1.0672","1.0931","1.0618","","2.22%"
"2014-06-01","1.0667","1.0846","1.0962","1.0645","","-1.61%"
"2014-05-01","1.0841","1.0962","1.1007","1.0812","","-1.07%"
"2014-04-01","1.0958","1.1050","1.1072","1.0855","","-0.81%"
"2014-03-01","1.1048","1.1054","1.1280","1.0953","","-0.14%"
"2014-02-01","1.1064","1.1132","1.1181","1.0908","","-0.56%"
"2014-01-01","1.1126","1.0623","1.1226","1.0587","","4.76%"
"2013-12-01","1.0620","1.0613","1.0739","1.0559","","0.06%"
"2013-11-01","1.0614","1.0431","1.0630","1.0396","","1.78%"
"2013-10-01","1.0428","1.0309","1.0498","1.0269","","1.16%"
"2013-09-01","1.0308","1.0523","1.0561","1.0181","","-2.15%"
"2013-08-01","1.0534","1.0276","1.0570","1.0265","","2.52%"
"2013-07-01","1.0275","1.0516","1.0610","1.0245","","-2.31%"
"2013-06-01","1.0518","1.0363","1.0558","1.0134","","1.38%"
"2013-05-01","1.0375","1.0073","1.0422","1.0013","","3.02%"
"2013-04-01","1.0071","1.0177","1.0295","1.0055","","-0.99%"
"2013-03-01","1.0172","1.0307","1.0344","1.0144","","-1.27%"
"2013-02-01","1.0303","0.9973","1.0315","0.9931","","3.35%"
"2013-01-01","0.9969","0.9922","1.0101","0.9813","","0.48%"
"2012-12-01","0.9921","0.9940","0.9978","0.9822","","-0.21%"
"2012-11-01","0.9942","0.9995","1.0057","0.9872","","-0.49%"
"2012-10-01","0.9991","0.9837","1.0022","0.9732","","1.59%"
"2012-09-01","0.9835","0.9870","0.9920","0.9632","","-0.27%"
"2012-08-01","0.9862","1.0033","1.0087","0.9840","","-1.66%"
"2012-07-01","1.0028","1.0164","1.0251","1.0002","","-1.35%"
"2012-06-01","1.0165","1.0327","1.0448","1.0157","","-1.61%"
"2012-05-01","1.0331","0.9870","1.0367","0.9827","","4.67%"
"2012-04-01","0.9870","0.9941","1.0053","0.9798","","-1.08%"
"2012-03-01","0.9978","0.9892","1.0036","0.9840","","0.85%"
"2012-02-01","0.9894","1.0024","1.0053","0.9844","","-1.32%"
"2012-01-01","1.0026","1.0207","1.0321","0.9963","","-1.64%"
"2011-12-01","1.0193","1.0186","1.0425","1.0051","","0.01%"
"2011-11-01","1.0192","0.9995","1.0525","0.9972","","1.97%"
"2011-10-01","0.9995","1.0480","1.0659","0.9890","","-4.80%"
"2011-09-01","1.0499","0.9782","1.0505","0.9735","","7.38%"
"2011-08-01","0.9777","0.9556","1.0011","0.9491","","2.37%"
"2011-07-01","0.9551","0.9638","0.9780","0.9405","","-0.85%"
"2011-06-01","0.9633","0.9688","0.9915","0.9624","","-0.51%"
"2011-05-01","0.9682","0.9455","0.9818","0.9445","","2.52%"
"2011-04-01","0.9444","0.9698","0.9723","0.9438","","-2.64%"
"2011-03-01","0.9700","0.9713","0.9975","0.9666","","-0.15%"
"2011-02-01","0.9715","1.0008","1.0014","0.9708","","-2.95%"
"2011-01-01","1.0010","0.9948","1.0059","0.9829","","0.40%"
"2010-12-01","0.9970","1.0266","1.0273","0.9925","","-2.88%"
"2010-11-01","1.0266","1.0192","1.0289","0.9973","","0.76%"
"2010-10-01","1.0189","1.0295","1.0373","0.9973","","-0.99%"
"2010-09-01","1.0291","1.0649","1.0659","1.0192","","-3.31%"
"2010-08-01","1.0643","1.0294","1.0675","1.0105","","3.36%"
"2010-07-01","1.0297","1.0638","1.0678","1.0251","","-3.28%"
"2010-06-01","1.0646","1.0439","1.0682","1.0137","","1.87%"
"2010-05-01","1.0451","1.0163","1.0853","1.0099","","2.71%"
"2010-04-01","1.0175","1.0151","1.0216","0.9928","","0.22%"
"2010-03-01","1.0153","1.0547","1.0575","1.0061","","-3.58%"
"2010-02-01","1.0530","1.0704","1.0781","1.0370","","-1.57%"
"2010-01-01","1.0698","1.0537","1.0701","1.0224","","1.69%"
"2009-12-01","1.0520","1.0557","1.0748","1.0366","","-0.35%"
"2009-11-01","1.0557","1.0849","1.0872","1.0416","","-2.66%"
"2009-10-01","1.0846","1.0694","1.0959","1.0206","","1.44%"
"2009-09-01","1.0692","1.0938","1.1105","1.0592","","-2.33%"
"2009-08-01","1.0947","1.0772","1.1126","1.0633","","1.56%"
"2009-07-01","1.0779","1.1631","1.1726","1.0751","","-7.29%"
"2009-06-01","1.1627","1.0908","1.1642","1.0784","","6.59%"
"2009-05-01","1.0908","1.1943","1.1953","1.0892","","-8.64%"
"2009-04-01","1.1940","1.2622","1.2717","1.1862","","-5.31%"
"2009-03-01","1.2610","1.2772","1.3066","1.2191","","-0.96%"
"2009-02-01","1.2732","1.2281","1.2733","1.2130","","3.77%"
"2009-01-01","1.2269","1.2169","1.2767","1.1762","","0.83%"
"2008-12-01","1.2168","1.2370","1.3010","1.1819","","-1.53%"
"2008-11-01","1.2357","1.2098","1.2986","1.1465","","1.91%"
"2008-10-01","1.2125","1.0628","1.3020","1.0547","","13.90%"
"2008-09-01","1.0645","1.0616","1.0824","1.0299","","0.07%"
"2008-08-01","1.0638","1.0229","1.0731","1.0227","","3.94%"
"2008-07-01","1.0235","1.0202","1.0275","0.9974","","0.24%"
"2008-06-01","1.0211","0.9952","1.0323","0.9928","","2.79%"
"2008-05-01","0.9934","1.0067","1.0243","0.9818","","-1.37%"
"2008-04-01","1.0072","1.0262","1.0327","0.9988","","-1.84%"
"2008-03-01","1.0261","0.9854","1.0311","0.9747","","4.23%"
"2008-02-01","0.9845","1.0029","1.0199","0.9710","","-1.92%"
"2008-01-01","1.0038","0.9986","1.0380","0.9841","","0.71%"
