,,Symbol,1998,Symbol,1999,Symbol,2000,Symbol,2001,Symbol,2002,Symbol,2003,Symbol,2004,Symbol,2005,Symbol,2006,Symbol,2007,Symbol,2008,Symbol,2009,Symbol,2010,Symbol,2011,Symbol,2012,Symbol,2013,Symbol,2014,Symbol,2015,Symbol,2016,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2022,Symbol
"Total employees, all occupations 7",573.47,,581.68,,597.14,,616,,635.65,,650.12,,662.54,,679.79,,703.14,,726.92,,750.2,,780.9,,801.67,,816.85,,836.08,,862.87,,881.84,,897.23,,921.76,,938.97,,952.94,,980.31,,1012.28,,1080.99,,1098.97,,1152.25,
Management occupations  [0],869.5,,852.57,,945.36,,994.76,,1058.74,,1102.66,,1127.06,,1163.41,,1182.61,,1235.7,,1258.22,,1299.61,,1326.23,,1359.79,,1385.98,,1462.55,,1501.37,,1540.26,,1560.81,,1649.79,,1678.83,,1723.77,,1777.63,,1840.56,,1922.58,,2013.51,
Senior management occupations  [00],1182.58,,1168.93,,1255.95,,1333.99,,1352.72,,1441.53,,1536.03,,1545.06,,1584.86,,1613,,1575.32,,1726.97,,1740.93,,1732.53,,1718.99,,1875.65,,1950.31,,1849.96,,1775.43,,1906.48,,1969.94,,2195.07,,2185.79,,2347.71,,2313.34,,2550.91,
Specialized middle management occupations  [01-05],939.18,,921.23,,1018.24,,1064.16,,1146.65,,1204.53,,1216.28,,1259.62,,1280.75,,1343.81,,1369.38,,1413.9,,1424.13,,1472.49,,1492.1,,1580.1,,1618.76,,1662.1,,1669.07,,1778.55,,1772.9,,1810.3,,1871.53,,1942.01,,2037.46,,2128.04,
Middle management occupations in retail and wholesale trade and customer services  [06],687.56,,673.93,,747.95,,785.9,,844.7,,846.63,,864.09,,892.99,,927.86,,970.9,,1010.41,,1006.88,,1027.39,,1054.3,,1093.35,,1131.03,,1151.16,,1218.84,,1276.85,,1323.33,,1379.59,,1437.82,,1421.38,,1480.74,,1572.34,,1627.81,
"Middle management occupations in trades, transportation, production and utilities  [07-09]",914.1,,891.71,,1005.76,,1044.97,,1108.09,,1172.56,,1184.94,,1192.13,,1224.45,,1288.15,,1287.63,,1365.23,,1404.53,,1436.57,,1459.51,,1496.25,,1537.83,,1575.88,,1621.34,,1641.83,,1687.8,,1689.07,,1807.55,,1804.11,,1873.94,,1971.85,
"Business, finance and administration occupations  [1]",542.67,,561.65,,571.06,,587.21,,607.77,,627.89,,636.89,,656.06,,677.99,,699.8,,724.08,,754.1,,780.21,,786.72,,806.22,,833.7,,858.49,,877.45,,907.9,,928.87,,935.99,,966.45,,1006.47,,1063.17,,1081.99,,1113.12,
Professional occupations in business and finance  [11],774.77,,797.88,,849.21,,889.58,,914.86,,944.7,,967.9,,998.93,,1025.23,,1073.59,,1111.55,,1127.77,,1168.26,,1153.36,,1205.34,,1226.42,,1272.21,,1288.83,,1319.58,,1325.2,,1327.56,,1366.71,,1407.53,,1452.45,,1475.88,,1532.78,
Administrative and financial supervisors and administrative occupations  [12],559.31,,583.87,,566.63,,591.51,,611.35,,621.06,,644.45,,659.15,,672.62,,700.88,,719.41,,757.81,,788.98,,788.07,,808.95,,828.79,,856.52,,885.93,,907.02,,910.6,,907.48,,943.57,,985.68,,1016.71,,1045.86,,1060.41,
"Finance, insurance and related business administrative occupations  [13]",489.36,,509.33,,537.42,,546.72,,564.95,,567.14,,582.15,,607.8,,626.87,,633.14,,658.65,,711.19,,696.34,,739.77,,723.72,,745.87,,774.88,,803.35,,827.37,,840.55,,874.25,,893.21,,940.63,,1016.65,,1018.18,,1018.12,
Office support occupations  [14],449.3,,465.59,,472.54,,485.95,,505.63,,524,,522.99,,537.84,,555.4,,563.61,,589.17,,604.74,,619.26,,629.27,,644.98,,665.64,,676.61,,683.32,,703.11,,695.48,,702.95,,734.72,,744.22,,783.53,,786.19,,812.18,
"Distribution, tracking and scheduling co-ordination occupations  [15]",492.01,,500.28,,512.38,,521.45,,536.53,,546.8,,565.73,,585.64,,605.24,,618.35,,629.22,,661.92,,667.79,,679.52,,692.61,,714.57,,725.07,,732.27,,751.4,,768.94,,806.27,,803.55,,818.94,,868.11,,881.69,,889.02,
Natural and applied sciences and related occupations  [2],811.38,,830.28,,859.73,,903.88,,954.83,,974.11,,986.83,,1015.86,,1039.55,,1077,,1106.97,,1148.59,,1178.96,,1194.7,,1239.8,,1278.21,,1288.48,,1326.91,,1345.31,,1379.56,,1372,,1404.08,,1444.13,,1504.4,,1533.48,,1619.29,
Professional occupations in natural and applied sciences  [21],895,,920.6,,974.84,,1002.13,,1064.85,,1100.28,,1129.02,,1157.76,,1171.6,,1208.48,,1245.01,,1298.54,,1320.65,,1324.16,,1378.9,,1410.06,,1432.64,,1462.58,,1489.36,,1528.89,,1504.37,,1546.93,,1589.07,,1653.91,,1684.87,,1790.84,
Technical occupations related to natural and applied sciences  [22],719.38,,732.55,,745.73,,801.01,,838.45,,848.73,,849.89,,875.9,,899.98,,935.37,,951.05,,983.35,,1026.35,,1039.18,,1071.94,,1118.06,,1127.78,,1164.47,,1180.38,,1198.94,,1197.62,,1225.72,,1244.19,,1282.48,,1269.88,,1314.08,
Health occupations  [3],597.82,,598.54,,614.52,,624.41,,658.33,,684.25,,696.97,,734.05,,747.56,,773.98,,815.73,,834.58,,871.94,,877.7,,901.53,,920.4,,946.44,,954.69,,981.26,,993.01,,1013.09,,1020.69,,1039.49,,1100.17,,1091.53,,1158.55,
Professional occupations in nursing  [30],667.11,,669.24,,706.92,,744.52,,771.34,,827.99,,848.46,,887.5,,895.23,,943.51,,989.01,,1019.04,,1079.62,,1092.34,,1127.05,,1147.72,,1157.51,,1194.32,,1200.95,,1216.78,,1237.74,,1244.1,,1302.83,,1361.16,,1371.61,,1424.48,
Professional occupations in health (except nursing)  [31],781.62,,751.37,,828.69,,829.51,,872,,898.64,,916.43,,1007.21,,991.95,,1022.29,,1069.86,,1102.87,,1137.43,,1153.1,,1195.01,,1206.55,,1256.12,,1256.01,,1299.25,,1351.07,,1370.09,,1376.11,,1462.67,,1523.84,,1468.76,,1596.78,
Technical occupations in health  [32],574.06,,578.57,,584.31,,582.2,,634.49,,638.06,,668.49,,694.44,,717.43,,747.66,,771.44,,799.73,,838.75,,838.75,,859.7,,861.51,,886.27,,891.39,,925.46,,915.37,,929.54,,945.33,,963.72,,1013.42,,1018.62,,1073.31,
Assisting occupations in support of health services  [34],419.74,,436.97,,425.84,,434.09,,453.01,,456.24,,470.91,,494.73,,511.45,,518.68,,557.39,,574.63,,581.99,,605.84,,615.52,,637.39,,635.68,,655.2,,672.34,,664.68,,692.39,,718.3,,693.43,,711.08,,727.26,,773.62,
"Occupations in education, law and social, community and government services  [4]",692.91,,690.34,,721.03,,723.48,,737.54,,762.8,,770.27,,788.25,,830.43,,847.02,,868.01,,911.68,,930.6,,953.65,,978.64,,1001.67,,1020.73,,1026.22,,1051.94,,1097.05,,1099.01,,1127.53,,1145.36,,1224.41,,1226.88,,1273.42,
Professional occupations in education services  [40],797.65,,799.25,,831.72,,832.91,,828.3,,855.93,,866.34,,898.62,,921.2,,951.75,,972.73,,1015.53,,1027.31,,1068.43,,1108.37,,1138.05,,1163.5,,1157.91,,1188.95,,1238.77,,1227.95,,1249.77,,1276.22,,1340.66,,1335.47,,1394.31,
"Professional occupations in law and social, community and government services  [41]",763.37,,770.49,,856.86,,867.21,,883.43,,923.23,,955.25,,973.39,,1024.69,,1009.07,,1055.53,,1104.81,,1131.29,,1135.16,,1174.83,,1195.35,,1253.11,,1264.28,,1248.68,,1312.87,,1329.02,,1361.82,,1379.36,,1454.59,,1473.75,,1510.24,
"Paraprofessional occupations in legal, social, community and education services  [42]",492.58,,499.05,,467.94,,478.17,,501.18,,517.21,,513.79,,515.21,,551.78,,574.25,,585.57,,620.91,,652.32,,649.76,,639.73,,678.42,,683.72,,693.3,,692.28,,687.68,,714.66,,729.57,,742.55,,780.61,,798.04,,814.9,
