"Archived - Employee wages by occupation, annual, 1997 to 2022, inactive c 1 2 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 14-10-0340-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Symbol,1998,Symbol,1999,Symbol,2000,Symbol,2001,Symbol,2002,Symbol,2003,Symbol,2004,Symbol,2005,Symbol,2006,Symbol,2007,Symbol,2008,Symbol,2009,Symbol,2010,Symbol,2011,Symbol,2012,Symbol,2013,Symbol,2014,Symbol,2015,Symbol,2016,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol,2022,Symbol
"Total employees, all occupations 7",15.59,,15.78,,16.17,,16.66,,17.22,,17.66,,18.05,,18.5,,19.09,,19.7,,20.38,,21.26,,21.98,,22.43,,22.87,,23.53,,24.06,,24.49,,25.16,,25.68,,26.08,,26.82,,27.75,,29.51,,30.03,,31.37,
Management occupations  [0],21.52,,21.28,,23.46,,24.72,,26.17,,27.33,,28.04,,29.03,,29.5,,30.82,,31.56,,32.68,,33.47,,34.23,,34.88,,36.85,,37.77,,38.95,,39.36,,41.68,,42.59,,43.59,,45.11,,47.06,,49,,50.94,
Senior management occupations  [00],27.72,,28.18,,30.23,,31.7,,32.48,,34.38,,36.93,,37.46,,38.38,,39.52,,38.99,,42.49,,42.53,,42.84,,42.27,,47.05,,48.18,,46.59,,44.76,,47.6,,49.79,,54.57,,54.92,,59.34,,57.52,,62.69,
Specialized middle management occupations  [01-05],24,,23.69,,25.94,,27.24,,29.04,,30.64,,30.99,,32.28,,32.77,,34.39,,35.16,,36.29,,36.83,,37.91,,38.44,,40.66,,41.52,,42.83,,43,,45.85,,45.94,,46.85,,48.53,,50.54,,52.98,,54.88,
Middle management occupations in retail and wholesale trade and customer services  [06],16.62,,16.38,,18.26,,19.13,,20.44,,20.65,,21.11,,21.74,,22.73,,23.57,,24.73,,24.89,,25.42,,25.96,,26.95,,27.64,,28.49,,30.14,,31.57,,32.61,,34.01,,35.1,,35.1,,37.01,,39.28,,40.35,
"Middle management occupations in trades, transportation, production and utilities  [07-09]",22.02,,21.84,,24.27,,25.23,,26.76,,28.24,,28.74,,28.93,,29.68,,31.4,,31.51,,33.48,,34.52,,35.14,,35.58,,36.66,,37.49,,38.66,,39.39,,40.13,,41.43,,41.53,,44.46,,44.57,,46.16,,48.32,
"Business, finance and administration occupations  [1]",15.13,,15.6,,15.82,,16.26,,16.85,,17.41,,17.72,,18.2,,18.79,,19.35,,20.05,,20.91,,21.6,,21.91,,22.36,,23.07,,23.7,,24.24,,25,,25.7,,25.97,,26.68,,27.79,,29.23,,29.87,,30.65,
Professional occupations in business and finance  [11],20.23,,20.85,,22.21,,23.08,,23.93,,24.72,,25.4,,26.18,,27.02,,28.07,,29.05,,29.71,,30.67,,30.61,,31.84,,32.43,,33.6,,34.08,,34.66,,34.94,,35.31,,36.22,,37.01,,38.33,,39.11,,40.46,
Administrative and financial supervisors and administrative occupations  [12],15.57,,16.22,,15.78,,16.41,,17.01,,17.35,,17.94,,18.31,,18.68,,19.39,,19.94,,21,,21.74,,21.86,,22.34,,22.8,,23.47,,24.28,,24.9,,25.12,,25.17,,25.97,,27.31,,28.05,,28.89,,29.41,
"Finance, insurance and related business administrative occupations  [13]",14.92,,14.58,,16.02,,16.13,,16.52,,16.79,,17.45,,17.82,,18.36,,18.77,,19.33,,21.11,,20.66,,21.56,,21.72,,22.19,,22.76,,23.47,,24.29,,24.93,,25.67,,25.82,,27.42,,29.29,,29.32,,29.36,
Office support occupations  [14],13.14,,13.6,,13.68,,14.09,,14.62,,15.11,,15.26,,15.63,,16.08,,16.33,,17.12,,17.58,,18.06,,18.46,,18.77,,19.35,,19.69,,19.94,,20.47,,20.74,,20.85,,21.6,,22.09,,23.17,,23.37,,24.01,
"Distribution, tracking and scheduling co-ordination occupations  [15]",13.27,,13.56,,13.68,,14.1,,14.52,,14.76,,15.16,,15.75,,16.26,,16.54,,16.95,,17.67,,18.04,,18.44,,18.7,,19.36,,19.53,,19.88,,20.29,,20.71,,21.7,,21.68,,21.99,,23.16,,23.84,,23.91,
Natural and applied sciences and related occupations  [2],20.98,,21.38,,22.27,,23.36,,24.65,,25.18,,25.6,,26.36,,26.93,,27.77,,28.63,,29.76,,30.68,,31.14,,32.08,,33.05,,33.42,,34.29,,34.8,,35.88,,35.8,,36.5,,37.68,,39.29,,39.99,,42.17,
Professional occupations in natural and applied sciences  [21],23.07,,23.59,,25.16,,25.84,,27.47,,28.4,,29.26,,29.94,,30.28,,31.12,,32.16,,33.57,,34.36,,34.49,,35.68,,36.48,,37.18,,37.82,,38.59,,39.79,,39.18,,40.25,,41.49,,43.19,,43.84,,46.63,
Technical occupations related to natural and applied sciences  [22],18.68,,19,,19.4,,20.77,,21.68,,21.99,,22.08,,22.83,,23.38,,24.15,,24.65,,25.55,,26.73,,27.1,,27.73,,28.88,,29.24,,30.06,,30.45,,31.16,,31.34,,31.81,,32.43,,33.5,,33.28,,34.23,
Health occupations  [3],18.29,,18.32,,18.59,,18.89,,19.66,,20.62,,21.13,,22.01,,22.45,,23.08,,24.23,,24.82,,25.87,,26.23,,26.75,,27.12,,27.97,,28.25,,28.96,,29.33,,29.76,,29.9,,30.42,,31.9,,31.85,,33.38,
Professional occupations in nursing  [30],21.09,,21.08,,21.97,,22.93,,23.46,,25.1,,26.05,,26.84,,27.21,,28.33,,29.47,,30.59,,32.18,,33.07,,33.51,,33.87,,34.37,,35.09,,35.36,,35.93,,36.72,,36.56,,38.04,,39.34,,39.59,,40.73,
Professional occupations in health (except nursing)  [31],22.15,,21.52,,22.96,,23.26,,24.5,,25.5,,26.55,,28.32,,28.29,,29.16,,30.12,,31.24,,32.07,,33,,33.88,,34.18,,35.14,,35.81,,37.04,,37.88,,38.14,,38.48,,41.11,,42.47,,41.61,,44.46,
Technical occupations in health  [32],17.41,,17.38,,17.58,,17.67,,18.71,,19.03,,19.89,,20.77,,21.31,,22.08,,23.01,,23.56,,24.61,,24.56,,25.33,,25.15,,26.13,,26.47,,27.13,,27.06,,27.34,,27.84,,28.2,,29.3,,29.79,,30.98,
