Column Name,0.083,0.5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Alternate Name,1 Month Old,6 Month Old,1 Year Old,2 Years Old,3 Years Old,4 Years Old,5 Years Old,6 Years Old,7 Years Old,8 Years Old,9 Years Old,10 Years Old,11 Years Old,12 Years Old,13 Years Old,14 Years Old,15 Years Old,16 Years Old,17 Years Old,18 Years Old,19 Years Old,20 Years Old,21 Years Old,22 Years Old,23 Years Old,24 Years Old,25 Years Old,26 Years Old,27 Years Old,28 Years Old,29 Years Old,30 Years Old,31 Years Old,32 Years Old,33 Years Old,34 Years Old,35 Years Old,36 Years Old,37 Years Old,38 Years Old,39 Years Old,40 Years Old,41 Years Old,42 Years Old,43 Years Old,44 Years Old,45 Years Old,46 Years Old,47 Years Old,48 Years Old,49 Years Old,50 Years Old,51 Years Old,52 Years Old,53 Years Old,54 Years Old,55 Years Old,56 Years Old,57 Years Old,58 Years Old,59 Years Old,60 Years Old,61 Years Old,62 Years Old,63 Years Old,64 Years Old,65 Years Old,66 Years Old,67 Years Old,68 Years Old,69 Years Old,70 Years Old,71 Years Old,72 Years Old,73 Years Old,74 Years Old,75 Years Old,76 Years Old,77 Years Old,78 Years Old,79 Years Old,80 Years Old,81 Years Old,82 Years Old,83 Years Old,84 Years Old,85 Years Old,86 Years Old,87 Years Old,88 Years Old,89 Years Old,90 Years Old,91 Years Old,92 Years Old,93 Years Old,94 Years Old,95 Years Old,96 Years Old,97 Years Old,98 Years Old,99 Years Old,100+ Years Old
15 to 24 years,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 to 34 years,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 to 54 years,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 to 64 years,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 to 44 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 to 54 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 to 64 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Household Wealth Below Age 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
