Prov_Name,Topic,Characteristic,Total
Canada,Population and dwelling counts,Population in 2011,33476688
Canada,Population and dwelling counts,Population in 2006,31612897
Canada,Population and dwelling counts,2006 to 2011 population change (%),5.9
Canada,Population and dwelling counts,Total private dwellings,14569633
Canada,Population and dwelling counts,Private dwellings occupied by usual residents,13320614
Canada,Population and dwelling counts,Population density per square kilometre,3.7
Canada,Population and dwelling counts,Land area (square km),8965121.42
Canada,Age characteristics,Total population by age groups,33476685
Canada,Age characteristics,   0 to 4 years,1877095
Canada,Age characteristics,   5 to 9 years,1809895
Canada,Age characteristics,   10 to 14 years,1920355
Canada,Age characteristics,   15 to 19 years,2178135
Canada,Age characteristics,      15 years,423755
Canada,Age characteristics,      16 years,432490
Canada,Age characteristics,      17 years,434060
Canada,Age characteristics,      18 years,439700
Canada,Age characteristics,      19 years,448130
Canada,Age characteristics,   20 to 24 years,2187450
Canada,Age characteristics,   25 to 29 years,2169590
Canada,Age characteristics,   30 to 34 years,2162905
Canada,Age characteristics,   35 to 39 years,2173930
Canada,Age characteristics,   40 to 44 years,2324875
Canada,Age characteristics,   45 to 49 years,2675130
Canada,Age characteristics,   50 to 54 years,2658965
Canada,Age characteristics,   55 to 59 years,2340635
Canada,Age characteristics,   60 to 64 years,2052670
Canada,Age characteristics,   65 to 69 years,1521715
Canada,Age characteristics,   70 to 74 years,1153065
Canada,Age characteristics,   75 to 79 years,922700
Canada,Age characteristics,   80 to 84 years,702070
Canada,Age characteristics,   85 years and over,645515
Canada,Age characteristics,Median age of the population,40.6
Canada,Age characteristics,% of the population aged 15 and over,83.2
Canada,Marital status,Total population 15 years and over by marital status,27869340
Canada,Marital status,   Married or living with a common-law partner,16084490
Canada,Marital status,      Married (and not separated),12941960
Canada,Marital status,      Living common law,3142525
Canada,Marital status,   Not married and not living with a common-law partner,11784855
Canada,Marital status,      Single (never legally married),7816045
Canada,Marital status,      Separated,698240
Canada,Marital status,      Divorced,1686035
Canada,Marital status,      Widowed,1584530
Canada,Family characteristics,Total number of census families in private households,9389695
Canada,Family characteristics,   Size of census family: 2 persons,4679700
