GEO_NAME,CHARACTERISTIC_NAME,Total
Canada,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,30335920
Canada,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,29242935
Canada,    Average total income in 2020 among recipients ($),54450
Canada,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,29257325
Canada,    Average after-tax income in 2020 among recipients ($),44920
Canada,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,26047020
Canada,    Average market income in 2020 among recipients ($),50240
Canada,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,21127690
Canada,    Average employment income in 2020 among recipients ($),50280
Canada,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,25397565
Canada,    Average government transfers in 2020 among recipients ($),11170
Canada,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,3179395
Canada,    Average employment insurance benefits in 2020 among recipients ($),7050
Canada,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,8346145
Canada,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),8920
Canada,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,30335920
Canada,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,9912810
Canada,    Median employment income in 2020 for full-year full-time workers in 2020 ($),63600
Canada,    Average employment income in 2020 for full-year full-time workers in 2020 ($),77200
Canada,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,8426645
Canada,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),18400
Canada,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),29160
Canada,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,100
Canada,  Market income (%),82.2
Canada,    Employment income (%),66.8
Canada,  Government transfers (%),17.8
Canada,    Employment insurance benefits (%),1.4
Canada,    COVID-19 - Government income support and benefits (%),5.4
Canada,      COVID-19 - Emergency and recovery benefits (%),4.7
Canada,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,30335920
Canada,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,28599665
Canada,    Average total income in 2019 among recipients ($),52350
Canada,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,28618280
Canada,    Average after-tax income in 2019 among recipients ($),42920
Canada,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,25709140
Canada,    Average market income in 2019 among recipients ($),51040
Canada,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,21242575
Canada,    Average employment income in 2019 among recipients ($),50560
Canada,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,23191860
Canada,    Average government transfers in 2019 among recipients ($),7950
Canada,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,2430165
Canada,    Average employment insurance benefits in 2019 among recipients ($),7560
Canada,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,30335920
Canada,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,9831805
Canada,    Median employment income in 2019 for full-year full-time workers in 2020 ($),60000
Canada,    Average employment income in 2019 for full-year full-time workers in 2020 ($),73200
Canada,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,7934985
Canada,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),24200
Canada,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),35200
Canada,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,100
Canada,  Market income (%),87.6
Canada,    Employment income (%),71.8
Canada,  Government transfers (%),12.3
Canada,    Employment insurance benefits (%),1.2
Canada,Total - Income statistics for private households - 25% sample data,14978940
Canada,  Average total income of household in 2020 ($),106300
Canada,  Average after-tax income of household in 2020 ($),87700
Canada,    Total - Income statistics for one-person private households - 25% sample data,4394500
Canada,      Average total income of one-person households in 2020 ($),53350
Canada,      Average after-tax income of one-person households in 2020 ($),44360
Canada,    Total - Income statistics for two-or-more-persons private households - 25% sample data,10584445
Canada,      Average total income of two-or-more-person households in 2020 ($),128200
Canada,      Average after-tax income of two-or-more-person households in 2020 ($),105700
Canada,Total - Income statistics for economic families in private households - 25% sample data,10113100
Canada,  Average total income of economic family in 2020 ($),128600
Canada,  Average after-tax income of economic family in 2020 ($),105600
Canada,Total - Income statistics for couple-only economic families in private households - 25% sample data,3926040
Canada,  Average total income of couple-only economic families in 2020 ($),112500
Canada,  Average after-tax income of couple-only economic families in 2020 ($),92000
Canada,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,4318755
Canada,  Average total income of couple-with-children economic families in 2020 ($),160600
Canada,  Average after-tax income of couple-with-children economic families in 2020 ($),130600
Canada,Total - Income statistics for one-parent economic families in private households - 25% sample data,1539580
Canada,  Average total income of one-parent economic families in 2020 ($),82300
Canada,  Average after-tax income of one-parent economic families in 2020 ($),71800
Canada,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,5916895
Canada,  Average total income in 2020 ($),49440
Canada,  Average after-tax income in 2020 ($),41560
Canada,Total - Knowledge of languages for the population in private households - 25% sample data,36328480
Canada,  Official languages,35644660
Canada,    English,31628570
Canada,    French,10563235
Canada,  Non-official languages,10724700
Canada,    Indigenous languages,243155
Canada,      Algonquian languages,163815
Canada,        Blackfoot,6680
Canada,        Cree-Innu languages,105850
Canada,          Atikamekw,6815
Canada,          Cree languages,87875
Canada,            Ililimowin (Moose Cree),420
Canada,            Inu Ayimun (Southern East Cree),895
Canada,            Iyiyiw-Ayimiwin (Northern East Cree),4880
Canada,            Nehinawewin (Swampy Cree),4675
Canada,            Nehiyawewin (Plains Cree),12005
Canada,            Nihithawiwin (Woods Cree),5110
Canada,"            Cree, n.o.s.",61000
Canada,          Innu (Montagnais),10745
Canada,          Naskapi,1035
Canada,        Eastern Algonquian languages,10035
Canada,          Mi'kmaq,9245
