Period,Q4 2010,Q4 2011,Q4 2012,Q4 2013,Q4 2014,Q4 2015,Q4 2016,Q4 2017,Q4 2018,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023
Geography,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Unit,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
Financial assets as a share of total assets,60,58.5,58.6,58.8,59.8,59.5,59.4,59.7,59.7,60.4,58.3,58.3,58.3,58.4,57.2,57.4,56.6,56,54.8,54.8,55.7,56.7,56.9,56.7
Life insurance and pensions as a share of total assets 3,16,16.5,16.7,16.2,17,16.6,16.3,16.1,15.9,15.9,15.7,14.8,14.5,14.4,13.6,13.5,13.1,12.8,12.4,12.2,12.5,12.6,12.5,12.4
Other financial assets as a share of total assets 4,44,41.9,41.8,42.6,42.8,42.9,43.1,43.6,43.8,44.4,42.6,43.5,43.8,44,43.5,43.9,43.5,43.1,42.4,42.5,43.2,44.1,44.3,44.3
Non-financial assets as a share of total assets,40,41.5,41.4,41.2,40.2,40.5,40.6,40.3,40.3,39.6,41.7,41.7,41.7,41.6,42.8,42.6,43.4,44,45.2,45.2,44.3,43.3,43.1,43.3
Real estate as a share of total assets,35.1,36.7,36.8,36.7,35.8,36.2,36.4,36.2,36.1,35.7,37.7,37.6,37.6,37.7,39,38.7,39.6,40.3,41.5,41.2,40.1,39.2,39.2,39.3
Other non-financial assets as a share of total assets 5,4.8,4.8,4.6,4.5,4.4,4.3,4.2,4.1,4.2,4,4,4.1,4.1,3.9,3.8,3.8,3.8,3.7,3.7,4,4.1,4.1,3.9,3.9
Liabilities as a share of total assets,12,12.4,12.1,12,12,12.1,11.7,11.6,11.6,11.2,11.5,11.9,11.7,11.3,10.9,10.9,10.9,10.6,10.6,11.4,11.7,11.6,11.3,11.3
Mortgage liabilities as a share of total assets,7.2,7.5,7.4,7.5,7.6,7.9,7.7,7.7,7.8,7.6,8,8.3,8.1,7.9,7.7,7.8,7.8,7.6,7.7,8.3,8.5,8.5,8.2,8.2
Other liabilities as a share of total assets 6,4.8,4.9,4.7,4.5,4.4,4.2,4,3.9,3.8,3.6,3.6,3.6,3.5,3.3,3.2,3.1,3.1,3,2.9,3.1,3.2,3.2,3.1,3.1
Liabilities as a share of net worth,13.7,14.1,13.8,13.6,13.7,13.8,13.2,13.1,13.1,12.6,13.1,13.5,13.2,12.7,12.3,12.2,12.2,11.8,11.9,12.8,13.2,13.1,12.7,12.7
Assets as a share of net worth,113.7,114.1,113.8,113.6,113.7,113.8,113.2,113.1,113.1,112.6,113.1,113.5,113.2,112.7,112.3,112.2,112.2,111.8,111.9,112.8,113.2,113.1,112.7,112.7
Financial assets as a share of net worth,68.3,66.7,66.6,66.8,67.9,67.7,67.3,67.5,67.6,67.9,65.9,66.1,66,65.8,64.2,64.5,63.5,62.6,61.3,61.8,63.1,64.2,64.1,63.9
Financial assets to non-financial assets ratio,150.3,140.7,141.3,142.7,148.6,146.7,146.6,148.2,148.4,152.2,139.8,139.7,139.9,140.4,133.5,135,130.2,127.1,121.3,121,125.9,131.2,131.9,131.2
Owner's equity as a share of real estate 7,79.5,79.6,79.8,79.7,78.7,78.1,78.8,78.7,78.5,78.7,78.9,78,78.4,79,80.1,79.9,80.3,81.1,81.4,79.9,78.8,78.4,79,79.2
Real estate as a share of disposable income 8,375.3,391.9,406.3,407.9,417,426.9,477,473.7,467.8,475.8,495.5,431.4,445.1,463.9,537.2,509,506.6,549.5,598.3,529.1,495,479.8,550.3,504.9
Net worth as a share of disposable income 8,940.5,935.3,970.7,978.1,1023.9,1035.9,1158.3,1157.5,1145.2,1184.2,1163.2,1009.7,1045.7,1093.1,1226.9,1170.6,1139.9,1218.6,1289.9,1137.9,1089.4,1082.2,1245.7,1139.1
Debt to disposable income ratio 8,128.6,131.9,133.7,133.3,139.9,142.9,153.1,151.7,150.4,148.9,151.8,136.2,137.9,138.8,150.4,143.2,139.3,144.1,153.5,146.2,144.2,142.3,158.4,144.5
