Period,Q4 2010,Q4 2011,Q4 2012,Q4 2013,Q4 2014,Q4 2015,Q4 2016,Q4 2017,Q4 2018,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023
Geography,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Units,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Financial assets as a share of total assets,61.2,60.1,60,59.9,60.6,60,59.6,59.7,59.7,60.5,58.6,59.3,59.3,59.3,58.1,58.3,57.4,56.8,55.6,55.5,56.5,57.5,57.6,57.4
Life insurance and pensions as a share of total assets 3,20.9,22,21.8,20.5,20.2,19.1,18,17.5,17.4,17.7,17.5,17.4,17.1,16.9,16.3,16.2,15.6,15.4,14.8,14.6,15,15.1,15,14.9
Other financial assets as a share of total assets 4,40.3,38.1,38.2,39.3,40.4,40.9,41.6,42.2,42.3,42.9,41.1,41.9,42.2,42.4,41.8,42.1,41.7,41.4,40.7,40.9,41.6,42.4,42.6,42.5
Non-financial assets as a share of total assets,38.8,39.9,40,40.1,39.4,40,40.4,40.3,40.3,39.5,41.4,40.7,40.7,40.7,41.9,41.7,42.6,43.2,44.4,44.5,43.5,42.5,42.4,42.6
Real estate as a share of total assets,34,35.2,35.5,35.7,35,35.6,36,35.9,35.9,35.2,37.1,36.6,36.6,36.7,38.1,37.9,38.7,39.5,40.6,40.4,39.3,38.4,38.4,38.6
Other non-financial assets as a share of total assets 5,4.8,4.7,4.5,4.5,4.4,4.4,4.4,4.3,4.4,4.3,4.3,4.1,4.1,4,3.8,3.9,3.9,3.8,3.8,4.1,4.2,4.2,4,4
Liabilities as a share of total assets,4.9,5,4.9,4.9,4.8,5,4.9,4.9,4.9,4.5,4.6,4.4,4.4,4.2,3.9,4,3.9,3.8,3.8,4.1,4.2,4.2,4.1,4.1
Mortgage liabilities as a share of total assets,2,2,2.1,2.1,2.2,2.4,2.5,2.5,2.4,2.2,2.3,2.3,2.2,2.2,2.1,2.1,2.1,2,2.1,2.2,2.3,2.3,2.3,2.3
Other liabilities as a share of total assets 6,2.9,2.9,2.8,2.7,2.6,2.6,2.4,2.4,2.4,2.3,2.3,2.2,2.1,2,1.9,1.8,1.8,1.8,1.7,1.9,1.9,1.9,1.8,1.8
Liabilities as a share of net worth,5.2,5.2,5.1,5.1,5.1,5.2,5.2,5.2,5.1,4.7,4.9,4.6,4.6,4.4,4.1,4.1,4.1,4,4,4.3,4.4,4.4,4.3,4.3
Assets as a share of net worth,105.2,105.2,105.1,105.1,105.1,105.2,105.2,105.2,105.1,104.7,104.9,104.6,104.6,104.4,104.1,104.1,104.1,104,104,104.3,104.4,104.4,104.3,104.3
Financial assets as a share of net worth,64.4,63.3,63.1,62.9,63.7,63.1,62.7,62.8,62.7,63.4,61.4,62,62,61.9,60.5,60.7,59.7,59,57.8,57.9,59,60,60,59.9
Financial assets to non-financial assets ratio,158,150.7,150,149.1,153.8,149.7,147.4,148.4,148.1,153.4,141.3,145.7,145.5,145.7,138.5,139.8,134.6,131.2,125.1,124.8,129.9,135.3,135.8,134.8
Owner's equity as a share of real estate 7,94.2,94.2,94.2,94,93.7,93.3,93,92.9,93.2,93.6,93.7,93.8,93.9,94,94.5,94.4,94.6,94.8,94.9,94.4,94.1,94,94,94
Real estate as a share of disposable income 8,459.1,475.2,474.2,477.3,500.6,500.4,539.3,552.3,549.1,556.1,573.1,545.6,551.2,596.9,705.1,708.4,697.3,776.4,847.5,783.9,707.3,683.6,686.9,670.1
Net worth as a share of disposable income 8,1284.9,1283.7,1271.8,1272.5,1361.5,1336.2,1423,1461.7,1456.5,1507.8,1472.9,1425.8,1441,1559.7,1777.9,1797.4,1729.4,1892.8,2006.9,1862.5,1725.3,1707.9,1715.2,1665.1
Debt to disposable income ratio 8,66.4,66.9,65.2,65.3,69.4,69.7,74.1,75.7,74.4,71.3,71.7,65.9,65.6,68.6,73,74.1,70.8,74.9,79.7,79.7,75.5,74.7,73,71.9
