Period,Q4 2010,Q4 2011,Q4 2012,Q4 2013,Q4 2014,Q4 2015,Q4 2016,Q4 2017,Q4 2018,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023
Geography,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Units,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
,,,,,,,,,,,,,,,,,,,,,,,,
Financial assets as a share of total assets,40,41.3,40.1,38.7,38.8,38.6,38.1,39.3,41.2,43.3,41.7,43,43,43,42,42.2,41.3,40.6,39.5,39.5,40.4,41.4,41.5,41.3
Life insurance and pensions as a share of total assets 3,12.6,14.5,13.7,12.1,11.7,11.1,10.6,10.9,11,11.9,11.8,11.4,11.1,11,10.5,10.4,10,9.8,9.4,9.2,9.5,9.6,9.6,9.5
Other financial assets as a share of total assets 4,27.4,26.8,26.4,26.6,27.1,27.5,27.5,28.4,30.3,31.5,29.9,31.7,31.9,32,31.5,31.8,31.3,30.9,30.1,30.2,30.9,31.7,31.9,31.9
Non-financial assets as a share of total assets,60,58.7,59.9,61.3,61.2,61.4,61.9,60.7,58.8,56.7,58.3,57,57,57,58,57.8,58.7,59.4,60.5,60.5,59.6,58.6,58.5,58.7
Real estate as a share of total assets,52.1,51,52.4,54,54.1,54.5,55.1,54,51.7,49.8,51.4,51.1,51.1,51.2,52.7,52.4,53.3,54.1,55.2,54.8,53.7,52.8,52.9,53
Other non-financial assets as a share of total assets 5,7.8,7.8,7.5,7.3,7.1,6.9,6.8,6.7,7,6.8,6.9,5.9,5.9,5.8,5.4,5.4,5.4,5.3,5.3,5.7,5.9,5.9,5.6,5.6
Liabilities as a share of total assets,31.9,30.7,30.6,30.4,28.7,27.3,25.8,24.6,23.9,22.1,22.2,20.5,20.1,19.6,18.3,18.4,18.3,17.8,17.8,19.1,19.8,19.8,19.3,19.2
Mortgage liabilities as a share of total assets,22.2,21.4,21.5,21.3,19.8,18.7,17.8,17,16.8,15.6,15.9,14.7,14.6,14.2,13.5,13.6,13.7,13.3,13.4,14.4,14.9,15,14.6,14.6
Other liabilities as a share of total assets 6,9.6,9.3,9.1,9.1,8.8,8.5,8.1,7.6,7.1,6.5,6.4,5.7,5.6,5.3,4.8,4.7,4.6,4.5,4.4,4.7,4.8,4.8,4.7,4.7
Liabilities as a share of net worth,46.8,44.3,44.1,43.8,40.2,37.5,34.9,32.6,31.3,28.3,28.6,25.7,25.2,24.3,22.5,22.5,22.4,21.7,21.6,23.6,24.7,24.7,23.9,23.8
Assets as a share of net worth,146.8,144.3,144.1,143.8,140.2,137.5,134.9,132.6,131.3,128.3,128.6,125.7,125.2,124.3,122.5,122.5,122.4,121.7,121.6,123.6,124.7,124.7,123.9,123.8
Financial assets as a share of net worth,58.8,59.5,57.8,55.6,54.4,53.1,51.4,52.1,54.2,55.6,53.7,54.1,53.8,53.5,51.4,51.7,50.5,49.4,48,48.8,50.4,51.6,51.4,51.2
Financial assets to non-financial assets ratio,66.8,70.3,67,63.1,63.4,62.9,61.6,64.8,70.2,76.4,71.6,75.5,75.4,75.5,72.3,73.1,70.3,68.5,65.3,65.2,67.8,70.6,70.9,70.5
Owner's equity as a share of real estate 7,57.3,58,59,60.5,63.3,65.6,67.7,68.5,67.6,68.7,69.2,71.2,71.5,72.2,74.3,74,74.4,75.4,75.8,73.7,72.2,71.6,72.3,72.5
Real estate as a share of disposable income 8,493.5,469.2,466.1,500.7,522.3,552.8,576.8,581.9,611.3,641.5,723,661.2,632.1,711.6,790.9,856.9,713.7,844.3,1011.9,964.1,736.6,712.8,818.1,872.7
Net worth as a share of disposable income 8,645,637.9,617.3,644.9,688.7,738.2,776.7,812.6,899.6,1002.7,1093.5,1029.6,987.8,1117.9,1226.5,1334.4,1093.1,1283.5,1506.4,1422.5,1100.3,1082.8,1248.7,1328.8
Debt to disposable income ratio 8,301.9,282.5,272.1,282.2,276.6,276.9,270.7,264.6,281.8,284,312.8,264.8,249,271.8,275.5,300.5,245.2,277.9,326.1,336,271.4,268,298.7,316.7
