Period,Q4 2010,Q4 2011,Q4 2012,Q4 2013,Q4 2014,Q4 2015,Q4 2016,Q4 2017,Q4 2018,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023
Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,
Unit,Percent,,,,,,,,,,,,,,,,,,,,,,,
Financial assets as a share of total assets,34.6,33.5,33.3,32.9,33.2,32.3,31.7,31.8,34.3,36.9,35.8,37.1,37.2,37,35.7,36,35.1,34.3,33.3,33.3,34.1,35.1,35.4,35.5
Life insurance and pensions as a share of total assets 3,8.7,9,9.1,8.9,9.3,9.3,9.2,9.1,8.1,7.7,7.3,7.4,7.3,7.2,6.8,6.7,6.4,6.2,6,5.9,6,6.2,6.2,6.2
Other financial assets as a share of total assets 4,26,24.5,24.2,24.1,23.9,23,22.5,22.7,26.2,29.3,28.5,29.7,29.9,29.9,28.9,29.3,28.6,28,27.3,27.4,28,28.9,29.2,29.4
Non-financial assets as a share of total assets,65.4,66.5,66.7,67.1,66.8,67.7,68.3,68.2,65.7,63.1,64.2,62.9,62.8,63,64.3,64,64.9,65.7,66.7,66.7,65.9,64.9,64.6,64.5
Real estate as a share of total assets,54,55.5,56.2,56.9,56.9,58,58.8,58.9,56.4,54.2,55.4,54.7,54.6,54.9,56.7,56.4,57.3,58.2,59.2,58.7,57.6,56.5,56.5,56.4
Other non-financial assets as a share of total assets 5,11.3,11,10.5,10.1,9.9,9.8,9.5,9.3,9.3,8.9,8.8,8.2,8.2,8.1,7.6,7.6,7.6,7.5,7.5,8.1,8.4,8.4,8.1,8.1
Liabilities as a share of total assets,46.2,46.5,45.4,44.3,43.2,42.8,41.8,41.5,41.2,39,39.2,37.6,37,36.3,34.6,34.5,34.5,34,33.8,36,37.4,37.3,36,35.4
Mortgage liabilities as a share of total assets,32.1,32.7,32.3,31.6,30.9,30.9,30.5,30.5,29.8,28.2,28.5,27.6,27.1,26.8,25.8,25.9,26,25.7,25.7,27.4,28.5,28.4,27.3,26.7
Other liabilities as a share of total assets 6,14.1,13.8,13.2,12.7,12.3,11.9,11.3,11,11.3,10.8,10.7,10,9.8,9.4,8.8,8.6,8.5,8.2,8.1,8.6,8.9,8.9,8.7,8.7
Liabilities as a share of net worth,85.8,86.8,83.3,79.6,76.1,74.8,71.9,71,70,63.8,64.5,60.4,58.6,56.9,52.9,52.7,52.7,51.4,51,56.3,59.7,59.5,56.2,54.8
Assets as a share of net worth,185.8,186.8,183.3,179.6,176.1,174.8,171.9,171,170,163.8,164.5,160.4,158.6,156.9,152.9,152.7,152.7,151.4,151,156.3,159.7,159.5,156.2,154.8
Financial assets as a share of net worth,64.4,62.6,61.1,59.2,58.5,56.4,54.5,54.4,58.3,60.5,58.9,59.5,58.9,58.1,54.5,55,53.5,51.9,50.3,52,54.4,56,55.3,55
Financial assets to non-financial assets ratio,53,50.4,50,49.1,49.7,47.6,46.4,46.7,52.1,58.6,55.7,59,59.1,58.8,55.4,56.3,54,52.1,49.9,49.8,51.6,54,54.9,55.1
Owner's equity as a share of real estate 7,40.6,41.1,42.6,44.5,45.6,46.6,48.2,48.3,47.1,48,48.5,49.5,50.3,51.1,54.5,54.1,54.6,55.8,56.6,53.2,50.5,49.8,51.6,52.6
Real estate as a share of disposable income 8,224.5,238.7,255.9,272.5,278.4,276.4,294.3,293.6,277.5,277.7,276.2,243,252.1,276,299,293.7,289.9,308.3,340.2,311.5,274.5,264.5,319.8,302
Net worth as a share of disposable income 8,223.7,230.1,248.5,266.6,278,272.7,291,291.6,289.5,313,303,277.2,291.1,320.5,345,341,331.3,349.6,380.3,339.7,298.6,293.2,362.7,346.1
Debt to disposable income ratio 8,191.9,199.8,206.9,212.2,211.5,204.1,209.3,206.9,202.6,199.8,195.5,167.3,170.7,182.4,182.4,179.8,174.6,179.7,194.1,191.3,178.3,174.5,203.7,189.6
