Period,Q4 2010,Q4 2011,Q4 2012,Q4 2013,Q4 2014,Q4 2015,Q4 2016,Q4 2017,Q4 2018,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023
Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,
Unit,Percent,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Financial assets as a share of total assets,37.8,36.6,36.8,37.8,40.1,41.1,41.9,42.6,42.2,42.9,40.9,41.9,41.8,41.8,40.6,40.8,39.7,39.1,37.9,37.8,38.6,39.5,39.6,39.5
Life insurance and pensions as a share of total assets 3,11.7,12.2,12.5,12.7,13.9,14.4,14.7,14.8,14.3,14.3,13.8,13.9,13.7,13.5,12.7,12.7,12.1,11.9,11.4,11.2,11.5,11.7,11.6,11.5
Other financial assets as a share of total assets 4,26,24.4,24.3,25.1,26.2,26.7,27.2,27.7,27.9,28.6,27.1,27.9,28.1,28.3,27.8,28.1,27.6,27.2,26.6,26.6,27.2,27.9,28,28
Non-financial assets as a share of total assets,62.2,63.4,63.2,62.2,59.9,58.9,58.1,57.4,57.8,57.1,59.1,58.1,58.2,58.2,59.4,59.2,60.3,60.9,62.1,62.2,61.4,60.5,60.4,60.5
Real estate as a share of total assets,54.1,55.5,55.6,54.8,52.6,51.7,51.1,50.6,50.6,50.1,52,51.5,51.5,51.7,53.2,53,53.9,54.7,55.9,55.5,54.4,53.5,53.6,53.8
Other non-financial assets as a share of total assets 5,8.2,7.9,7.6,7.4,7.3,7.2,7,6.9,7.2,7,7.1,6.7,6.7,6.5,6.2,6.3,6.3,6.2,6.2,6.7,7,6.9,6.7,6.7
Liabilities as a share of total assets,36.7,37.1,36.2,34.9,33.2,32.2,30.9,30.5,32.4,32.2,33.2,32.2,31.7,30.9,29.5,29.7,29.7,28.9,29,31.2,32.4,32.5,31.7,31.6
Mortgage liabilities as a share of total assets,26.2,26.8,26.4,25.6,24.6,24.2,23.4,23.3,24.7,24.7,25.7,25.1,24.8,24.3,23.3,23.6,23.7,23.1,23.3,25,26,26.1,25.5,25.4
Other liabilities as a share of total assets 6,10.5,10.3,9.8,9.3,8.7,8.1,7.5,7.3,7.7,7.5,7.6,7.1,6.9,6.6,6.1,6.1,6,5.8,5.7,6.1,6.4,6.4,6.2,6.2
Liabilities as a share of net worth,58,58.9,56.7,53.6,49.8,47.6,44.8,43.9,48,47.6,49.8,47.4,46.5,44.7,41.8,42.2,42.3,40.7,40.8,45.3,47.9,48.2,46.5,46.3
Assets as a share of net worth,158,158.9,156.7,153.6,149.8,147.6,144.8,143.9,148,147.6,149.8,147.4,146.5,144.7,141.8,142.2,142.3,140.7,140.8,145.3,147.9,148.2,146.5,146.3
Financial assets as a share of net worth,59.7,58.1,57.6,58,60.1,60.6,60.7,61.3,62.5,63.3,61.3,61.7,61.2,60.5,57.5,57.9,56.5,55,53.4,54.9,57.1,58.6,58,57.7
Financial assets to non-financial assets ratio,60.7,57.6,58.2,60.7,67,69.7,72.2,74.1,73.1,75.1,69.2,72,71.8,71.8,68.3,68.8,65.9,64.2,61.1,60.7,62.9,65.4,65.6,65.2
Owner's equity as a share of real estate 7,51.6,51.8,52.5,53.2,53.3,53.3,54.1,54,51.2,50.7,50.6,51.3,51.8,53,56.1,55.5,56,57.7,58.4,54.9,52.2,51.2,52.4,52.8
Real estate as a share of disposable income 8,372.8,384.7,405.6,405.2,391.5,393.2,412.9,404.7,394.4,401.6,416.3,377,390.4,404.8,451,444.8,435,462.7,499.9,447.1,401.4,391.2,461.2,438.3
Net worth as a share of disposable income 8,436.4,436.1,465.5,481.3,496.7,514.9,558.4,556.1,526.7,543.4,534.3,497,517.4,541.4,597.9,590.6,566.5,600.8,635.2,554.2,498.9,493.2,586.9,556.8
Debt to disposable income ratio 8,253.1,257,264.1,258,247.3,245,250,244.4,252.7,258.5,266.1,235.6,240.6,242.1,250,249.1,239.9,244.5,259.2,251.1,238.9,237.8,272.8,257.6
